support,itemsets,length
0.020322354590049056,"frozenset({'ransomware=False', 'cwe=CWE-287'})",2
0.020322354590049056,"frozenset({'cwe=CWE-78', 'year=2024-2025'})",2
0.020322354590049056,frozenset({'cwe=CWE-287'}),1
0.020322354590049056,"frozenset({'cwe=CWE-264', 'year=<=2022'})",2
0.020322354590049056,"frozenset({'ransomware=False', 'cwe=CWE-264', 'year=<=2022'})",3
0.020322354590049056,"frozenset({'year=<=2022', 'vendor=Oracle'})",2
0.020322354590049056,"frozenset({'year=<=2022', 'product=Flash Player'})",2
0.020322354590049056,"frozenset({'cwe=CWE-78', 'ransomware=False', 'year=2024-2025'})",3
0.020322354590049056,"frozenset({'ransomware=False', 'year=<=2022', 'product=Flash Player'})",3
0.020322354590049056,"frozenset({'vendor=Adobe', 'year=<=2022', 'product=Flash Player'})",3
0.020322354590049056,"frozenset({'ransomware=False', 'year=<=2022', 'vendor=Oracle'})",3
